Order Number,Sales Date,Sales Channel,Currency,Salesteamindex,Storeindex,Productindex,Order qty,unit price,unit cost,profit
SO1,"Sunday, May 24, 2020",Online,USD,19,362,9,8,504.25,360.18,144.07
SO2,"Sunday, February 16, 2020",Wholesale,USD,20,334,26,5,551.55,393.96,157.59
SO3,"Saturday, May 30, 2020",In-Store,USD,12,21,22,4,253.80,181.29,72.51
SO4,"Wednesday, January 22, 2020",Wholesale,USD,9,112,8,9,330.81,236.30,94.52
SO5,"Friday, April 24, 2020",Wholesale,USD,15,64,23,4,387.92,277.08,110.83
SO6,"Thursday, April 9, 2020",Distributor,USD,6,243,14,4,322.87,230.62,92.25
SO7,"Thursday, May 21, 2020",In-Store,USD,7,38,33,2,293.17,209.41,83.76
SO8,"Monday, March 30, 2020",Online,USD,21,188,15,8,273.99,195.71,78.28
SO9,"Tuesday, May 5, 2020",Wholesale,USD,26,288,28,9,499.79,356.99,142.80
SO10,"Monday, March 9, 2020",Wholesale,USD,19,148,13,1,288.26,205.90,82.36
SO11,"Sunday, April 26, 2020",Online,USD,15,154,47,10,621.18,443.70,177.48
SO12,"Tuesday, April 7, 2020",Wholesale,USD,10,67,5,2,245.59,175.42,70.17
SO13,"Monday, February 3, 2020",Wholesale,USD,18,51,25,8,348.32,248.80,99.52
SO14,"Wednesday, May 6, 2020",In-Store,USD,15,174,43,1,575.95,411.39,164.56
SO15,"Thursday, January 23, 2020",Wholesale,USD,21,18,4,1,383.51,273.94,109.57
SO16,"Monday, January 27, 2020",Online,USD,24,9,6,8,209.67,149.77,59.91
SO17,"Thursday, May 14, 2020",Distributor,USD,21,256,46,1,323.12,230.80,92.32
SO18,"Friday, February 14, 2020",Wholesale,USD,10,300,18,9,173.69,124.06,49.63
SO19,"Friday, April 10, 2020",In-Store,USD,22,83,24,3,644.20,460.14,184.06
SO20,"Friday, January 31, 2020",Distributor,USD,10,45,24,6,387.17,276.55,110.62
SO21,"Saturday, February 22, 2020",Online,USD,21,276,5,8,544.19,388.71,155.48
SO22,"Wednesday, March 25, 2020",Online,USD,9,316,23,5,380.98,272.13,108.85
SO23,"Friday, January 31, 2020",Distributor,USD,14,268,47,5,542.05,387.18,154.87
SO24,"Thursday, May 14, 2020",Distributor,USD,4,356,42,5,261.71,186.94,74.77
SO25,"Sunday, April 12, 2020",Online,USD,7,142,24,1,337.50,241.07,96.43
SO26,"Sunday, April 19, 2020",Online,USD,24,243,34,9,370.51,264.65,105.86
SO27,"Tuesday, March 17, 2020",Wholesale,USD,4,162,1,6,586.31,418.79,167.52
SO28,"Friday, May 1, 2020",Wholesale,USD,3,268,35,2,215.67,154.05,61.62
SO29,"Sunday, April 12, 2020",Distributor,USD,2,250,20,2,340.71,243.36,97.35
SO30,"Sunday, April 12, 2020",Wholesale,USD,18,112,38,5,389.87,278.48,111.39
SO31,"Wednesday, January 1, 2020",Wholesale,USD,10,66,28,8,566.48,404.63,161.85
SO32,"Friday, March 13, 2020",In-Store,USD,4,275,39,10,285.54,203.95,81.58
SO33,"Tuesday, February 25, 2020",Distributor,USD,2,58,5,3,225.18,160.84,64.34
SO34,"Thursday, April 16, 2020",Wholesale,USD,17,195,10,5,579.53,413.95,165.58
SO35,"Saturday, May 16, 2020",In-Store,USD,6,290,16,6,593.56,423.97,169.59
SO36,"Monday, January 20, 2020",Distributor,USD,2,118,46,1,545.45,389.61,155.84
SO37,"Wednesday, April 8, 2020",In-Store,USD,13,180,29,8,551.27,393.77,157.51
SO38,"Saturday, February 29, 2020",Wholesale,USD,5,231,3,7,416.98,297.84,119.14
SO39,"Friday, March 13, 2020",Distributor,USD,10,165,44,10,262.33,187.38,74.95
SO40,"Wednesday, April 15, 2020",In-Store,USD,11,261,6,2,614.08,438.63,175.45
SO41,"Wednesday, February 12, 2020",Distributor,USD,3,167,35,4,239.83,171.31,68.52
SO42,"Monday, April 27, 2020",In-Store,USD,9,216,14,3,290.22,207.30,82.92
